RPorSP	ASC	TT1	TT2	TC1	TC2	TT1SP	TT2SP	TC1SP	TC2SP	ITT1	ITT2	ATT1	ATT2	UTILERR1	UTILERR2	U1	U2	av1	av2	Choice
1	0.5	-0.469793455	-1.101026799	0.292576855	0.971208104	0	0	0	0	0.106837312	0.950886135	0.21487985	-2.177162415	2.53948606	-0.214540863	3.329095096	3.708794249	1	1	0
1	0.5	-0.6598826	-0.148622174	-0.181154305	0.611391524	0	0	0	0	0.100051411	0.242537726	-0.427263364	0.019952093	1.178059951	4.734936694	1.834121193	5.414195479	1	1	0
1	0.5	-1.205322654	-0.492469637	1.057125541	-0.55397836	0	0	0	0	0.859409735	0.255883541	-0.076494934	0.694145715	0.195071192	1.761366064	4.264970047	2.09038168	1	1	1
1	0.5	-1.804641208	-1.086414807	-0.247582661	-0.704664332	0	0	0	0	0.637672965	0.917630566	0.682797282	1.779094498	0.108946046	4.885339214	4.029442078	7.437110641	1	1	0
1	0.5	-1.547926835	0.508141877	-1.415398651	1.025580919	0	0	0	0	0.705377194	0.052832145	0.662831036	-0.706835161	1.109875351	0.68290001	3.779997774	0.890251372	1	1	1
1	0.5	0.282431906	-0.922413557	0.043410995	-1.711814849	0	0	0	0	0.852558956	0.919535472	0.023588849	-0.25561292	-0.390339386	0.977906795	-1.121792747	2.312843185	1	1	0
1	0.5	0.04894251	-0.407591649	-0.602681626	1.712758433	0	0	0	0	0.038508915	0.127725998	1.206869575	1.13885776	-0.675169225	1.562237469	-1.1798924	3.358518043	1	1	0
1	0.5	1.690989546	1.300120939	-0.471676246	-0.359588514	0	0	0	0	0.066784487	0.883584062	-0.198765271	-1.226845496	3.719074641	1.197704558	1.448464171	-2.669640048	1	1	1
1	0.5	0.068454813	-1.067254596	-0.78046993	0.805592886	0	0	0	0	0.754412948	0.767634648	-0.460808685	-0.738285662	1.614222287	0.637430979	0.857128632	3.947403451	1	1	0
1	0.5	0.108052971	-1.753478149	-0.111580854	-1.543082963	0	0	0	0	0.339828286	0.086458765	-0.647357373	1.379686349	1.073426317	1.440070292	0.808248795	2.339443327	1	1	0
1	0.5	-0.632077168	-0.224197816	0.906351814	0.252095071	0	0	0	0	0.95412628	0.417623784	-0.136566556	-0.605705286	1.526247637	2.905191689	4.044251541	3.50572149	1	1	1
1	0.5	1.155128468	-0.03293671	-0.484874166	-0.530969562	0	0	0	0	0.451370498	0.3442139	1.229607674	-0.293674558	2.190338962	0.993362843	-0.371226956	0.650746928	1	1	0
1	0.5	-1.354808196	0.231661074	0.506859268	1.099917368	0	0	0	0	0.11329521	0.361703587	0.561458291	-0.245191072	-0.359772738	1.98821184	1.682166468	2.413903509	1	1	0
1	0.5	0.364810537	-0.703761593	-0.755535745	0.550202028	0	0	0	0	0.234233895	0.634520276	-0.190564742	-0.302020934	1.86521224	2.483554915	0.762847908	4.493070029	1	1	0
1	0.5	-0.081705398	0.695406671	-0.431014485	-0.558516988	0	0	0	0	0.998437046	0.641148802	-0.88468587	-0.413591716	1.364808484	-0.507684141	1.28640841	-2.513696862	1	1	1
1	0.5	-0.439694112	-0.808920097	-0.818845833	0.509621359	0	0	0	0	0.747036883	0.581872747	0.794670989	-0.756329768	0.555071207	0.959245383	1.037566382	3.091758617	1	1	0
1	0.5	0.243452952	-1.486724862	-0.419110859	-0.250886628	0	0	0	0	0.942481458	0.702024069	0.871392083	-0.47215438	2.697780218	4.097506542	1.681094336	7.483499707	1	1	0
1	0.5	0.223314725	-0.199172712	-1.982189917	0.800268332	0	0	0	0	0.388634533	0.290898603	0.729982702	1.674284258	1.18927294	2.734815352	-0.694259851	3.65006744	1	1	0
1	0.5	1.392816175	0.919775516	0.217628033	0.700717743	0	0	0	0	0.53623915	0.585192288	1.56640739	0.068730706	2.28198652	2.580198392	-0.441373754	1.109470104	1	1	0
